globalstepsid,household,entryhouseholdid,globalmarinesteps
8344,11195,69,HARUS ADA ATURAN DESA YANG DISEPAKATI AGAR JELAS ATURAN HUKUMNYA
8345,11201,67,PENCEGAHAN
8346,11207,98,HARUS ADANYA PENGAWASAN KETAT
8347,11233,177,PERKETAT PENJAGAAN
8348,11276,203,HARUS CEPAT MELAPOR KAN KE PIHAK BERWAJIB
8349,11285,201,SADARAKAN PENGGUNAAN ALAT TIDAK RAMAH LINGKUNGAN
8350,11354,302,MENGUSIR ATAU MELARANG KERAS
8351,11384,3,PENGARUH SUMBER SAMPAH DARI LUAR DAERAH YANG DI LAUT LOKAL
8352,11385,2,JAGA KEBERSIHAN
8353,11385,2,MENAMBAH BAK SAMPAH
8354,11393,6,SERING MELAPOR KE PIHAK TERKAIT
8355,11398,1,TIDAK MEMBUANG SAMPAH SEMBARANG
8356,11398,1,SALING MENGINGATKAN TENTANG PENTINGNYA ALAT TANGKAP RAMAH LINGKUNGAN
8357,11406,55,HARUS ADA KEAMANAN LAUT
8358,11406,55,HARUS ADA KEAMANAN LAUT
8359,11426,37,MENJAGA PESISIR LAUT DARI ANCAMAN NELAYAN TIDAK BERTANGGUNG JAWAB
8360,11442,345,DI HUKUM SEBERAT APA YANG DI LAKUKANNYA.
8361,11443,347,BIARKAN SAJA KARNA ADA PETUGAS KHUSUS YAITU JAGAWANA
8362,11494,242,"MEMBERI FASILITAS PENJAGAAN LAUT UNTUK MASYARAKAT, SPET, TEKNOLOGI."
8363,11514,109,MELARANG NELAYAN ITU UNTUK MENGAKAP IKAN DENGAN MENGGUNAKAN BOM
8364,11514,109,HARUS ADANYA PENINGKATAN PENGAWASAN DARI PEMERINTAH
