morganizationid,household,entryhouseholdid,name,position,meeting,days,contribution,contributionunits
5380,11181,78,TAPAKULA JAYA,1,0,0,0,IDR
5381,11217,175,KEMITRAAN NELAYAN MANTIGOLA HORUA,1,1,24,0,IDR
5382,11224,176,FORUM KEMITRAAN NELAYAN MANTIGOLA HORUO,1,1,24,0,IDR
5383,11225,172,FORUM KEMITRAAN NELAYAN MANTIGOLA HORUO,2,1,24,0,IDR
5384,11238,159,KELOMPOK TANI,1,1,1,0,IDR
5385,11248,163,NELAYAN PUKAT,1,1,15,40000,IDR
5386,11253,165,KELOMPOK NELAYAN,1,1,1,0,IDR
5387,11255,170,KELOMPOK DESA,1,1,12,0,IDR
5388,11266,140,DEWARA,1,1,24,0,IDR
5389,11273,149,DEWARA LESTARI,1,1,24,0,IDR
5390,11274,138,DEWARA,1,1,24,0,IDR
5391,11276,203,KELOMPOK LAMBA,1,1,12,0,IDR
5392,11281,206,KELOMPOK KAPPAMO,2,1,12,300000,IDR
5393,11283,205,KELOMPOK MASYARAKAT,1,1,1,0,IDR
5394,11286,210,KELOMPOK  NELAYAN LAMANGGAU,2,1,1,50000,IDR
5395,11289,207,NELAYAN USAHA BARU,1,1,12,0,IDR
5396,11292,202,KOPAMO,1,1,12,240000,IDR
5397,11311,285,KELOMPOK NELAYAN WALI,1,1,12,0,IDR
5398,11347,307,KELOMPOK NELAYAN,1,0,0,0,IDR
5399,11391,4,KELOMPOK NELAYAN TUNA BERSINAR,2,0,0,0,IDR
5400,11399,28,DASAWISMA,1,0,0,0,IDR
5401,11404,48,KELOMPOK NELAYAN,1,1,1,0,IDR
5402,11408,333,KELOMPOK NELAYAN SAMPUA PONDA,1,1,1,0,IDR
5403,11484,16,KELOMPOK NELAYAN MITRA SUNU,1,1,2,50000,IDR
5404,11485,23,KELOMPOK NELAYANAN MITRA SUNU,1,1,1,50000,IDR
5405,11508,110,PADAKAUANG,1,1,1,0,IDR
5406,11515,115,KELOMPOK SANGAL,2,0,0,0,IDR
5407,11519,131,PULAU EMAS,1,1,36,0,IDR
