mpaid,country,mpaname,mpanetwork,seascape,wdpaid,estyear,notes,boundary,size
1,360,Teluk Mayalibit MPA,1,1,,,,,
2,360,Teluk Cenderawasih NP,995,1,,,,,
3,360,Kaimana MPA,2,1,,,,,
4,360,Kofiau dan Pulau  Boo MPA,1,1,,,,,
5,360,Selat Dampier MPA,1,1,,,,,
6,360,Misool Selatan Timur MPA,1,1,,,,,
7,360,Buruway MPA (Kaimana),2,1,,,,,
8,360,Teluk Etna MPA (Kaimana),2,1,,,,,
9,360,Teluk Triton MPA (Kaimana),2,1,,,,,
10,360,Ayau-Asia MPA,1,1,,,,,
11,360,Kawe-Wayag MPA,1,1,,,,,
12,360,Abun MPA,995,1,,,,,
13,360,Penumu MCA,1,1,,,,,
14,360,SW Waigeo MPA,1,1,,,,,
15,360,Selat Pantar MPA,995,2,,,,,
16,360,Flores Timur MPA,995,2,,,,,
17,360,Kei Kecil MPA,995,2,,,,,
18,360,Koon MPA,995,2,,,,,
19,360,Yamdena MPA,995,2,,,,,
20,360,Sulawesi Tenggara MPA,995,2,,,,,
21,360,Wakatobi NP,995,998,,,,,
990,360,FIELD TEST,998,998,,,,,
